"","Winner/Tie","Winner_Pts","Loser/Tie","Loser_Pts"
"1","MichiganState",61,"Illinois",14
"2","Minnesota",42,"Purdue",35
"3","OhioState",31,"Iowa",6
"4","PennState",34,"Northwestern",29
"5","Wisconsin",23,"Michigan",20
"7","Iowa",35,"Illinois",7
"8","Michigan",34,"MichiganState",31
"9","PennState",44,"Minnesota",14
"10","Wisconsin",41,"Indiana",24
"12","Indiana",36,"Illinois",13
"13","Iowa",34,"Purdue",17
"14","Minnesota",23,"Michigan",20
"15","Northwestern",51,"Wisconsin",48
"16","PennState",17,"OhioState",10
"18","Iowa",38,"Indiana",21
"19","Michigan",27,"PennState",25
"20","Northwestern",34,"Purdue",29
"21","OhioState",35,"MichiganState",24
"22","Wisconsin",38,"Minnesota",34
"24","Michigan",23,"Iowa",20
"25","Northwestern",49,"MichiganState",14
"26","OhioState",41,"Indiana",10
"27","PennState",63,"Illinois",10
"28","Wisconsin",31,"Purdue",20
"30","Michigan",33,"Northwestern",17
"31","MichiganState",46,"Indiana",15
"32","OhioState",45,"Minnesota",31
"33","PennState",33,"Purdue",15
"34","Wisconsin",41,"Illinois",24
"36","Minnesota",42,"Indiana",21
"37","Northwestern",28,"Iowa",27
"38","OhioState",40,"Illinois",2
"39","PennState",35,"Wisconsin",14
"40","Purdue",28,"MichiganState",21
"42","Iowa",20,"Wisconsin",10
"43","Michigan",41,"Indiana",14
"44","Minnesota",41,"MichiganState",18
"45","OhioState",48,"Northwestern",7
"46","Purdue",37,"Illinois",3
"48","Iowa",52,"Minnesota",28
"49","Northwestern",38,"Illinois",21
"50","OhioState",25,"Michigan",21
"51","PennState",31,"MichiganState",22
"52","Purdue",41,"Indiana",14
